geneId	nbUmis	nbIsoformSet	nbIsoformNotSet
Surf2	72	49	23
Hnrnpc	686	261	425
Lrrn3	25	17	8
Hnrnpd	296	121	175
Surf4	43	16	27
Hnrnpf	404	294	110
RP23-471J16.2	3	3	0
Atm	6	0	6
Hnrnpk	1275	772	503
Pcdhb20	3	3	0
Paics	161	116	45
Hnrnpl	116	64	52
Pcdhb21	9	9	0
Atr	34	4	30
Hnrnpm	277	1	276
Pcdhb22	1	0	1
Glt1d1	5	1	4
Aldh3a2	10	5	5
Rsf1	144	0	144
Gsg1	1	1	0
Gsg2	8	8	0
Auh	63	48	15
Rsrc2	323	78	245
RP24-149G13.4	16	16	0
Mirt1	3	1	2
Pdrg1	122	110	12
RP24-90K19.3	4	4	0
RP24-90K19.4	16	16	0
Tyk2	6	0	6
RP24-90K19.1	2	0	2
Rsrc1	92	33	59
RP23-140M6.1	33	33	0
RP23-140M6.3	12	12	0
RP23-140M6.2	1	1	0
C8g	1	1	0
Nfx1	56	8	48
RP23-297J14.2	1	1	0
Rsl24d1	5	0	5
RP23-180L12.1	16	0	16
Svil	4	0	4
Nfyb	102	56	46
Deptor	3	0	3
Nfya	24	6	18
Nfyc	77	54	23
Lmcd1	20	17	3
RP23-180L12.5	2	0	2
Svip	15	11	4
Abcb1b	4	0	4
Sec14l1	59	29	30
Sec14l2	1	0	1
Qpct	4	4	0
Emc2	64	49	15
RP23-228H14.6	3	0	3
Emc1	10	0	10
Emc4	147	129	18
Tmub1	25	21	4
Emc3	92	48	44
Emc6	239	228	11
RP23-228H14.2	5	5	0
Emc8	16	0	16
RP24-108G5.3	2	2	0
Emc7	68	50	18
RP23-295F17.1	259	259	0
Tmub2	46	36	10
Emc9	11	9	2
Mcub	3	0	3
Rsg1	1	0	1
Axl	5	2	3
Prkcdbp	27	27	0
Iglon5	48	5	43
Pbld2	1	0	1
RP24-120B18.5	2	2	0
RP24-317M4.6	2	2	0
Creg1	12	11	1
Rsrp1	470	380	90
Timm17a	117	97	20
RP23-328P7.1	10	0	10
Timm17b	145	128	17
RP23-337H1.2	1	1	0
RP24-317M4.1	2	2	0
Eme2	3	0	3
Eme1	15	1	14
Dkkl1	1	0	1
RP24-276C17.2	4	4	0
Tyms	105	82	23
AC087115.1	14	0	14
RP23-4H17.1	9	9	0
RP23-4H17.4	2	2	0
Rsl1	1	1	0
RP23-324J22.3	2	0	2
RP23-324J22.6	2	2	0
Rccd1	20	0	20
Pmf1	64	57	7
Xxylt1	1	1	0
RP23-30F6.3	5	5	0
RP23-280I2.1	7	3	4
Emg1	231	193	38
Tom1l2	17	0	17
Tom1l1	5	1	4
Nsfl1c	174	150	24
RP23-114E15.14	1	1	0
RP23-114E15.12	16	16	0
RP24-547N23.2	1	0	1
RP24-257J5.1	14	3	11
RP24-547N23.4	2	0	2
Fpgt	13	4	9
Fpgs	1	0	1
Tvp23b	22	15	7
Tvp23a	24	7	17
RP24-544H3.1	7	7	0
RP23-344D21.3	13	13	0
RP23-292F17.2	1	1	0
Svop	41	21	20
4831440E17Rik	3	0	3
RP23-292F17.5	11	0	11
Aqp11	6	2	4
RP23-427B4.2	1	1	0
Sdf2l1	41	40	1
Lingo4	1	0	1
RP24-114K21.4	5	0	5
Cdadc1	14	10	4
Lingo2	4	0	4
Lingo1	65	25	40
Cks1b	179	176	3
Baiap2	49	20	29
RP24-114K21.2	1	0	1
Creb1	54	14	40
Creb3	29	25	4
Vps33a	13	7	6
Vps33b	19	7	12
Creb5	43	7	36
RP23-345D18.4	4	1	3
Fundc2	96	76	20
Fundc1	37	28	9
RP23-112F6.2	1	1	0
Hmg20a	35	13	22
Hmg20b	75	45	30
Vprbp	14	0	14
Donson	2	0	2
Tyw1	21	6	15
Kcnab1	6	2	4
RP23-210M6.5	31	23	8
Kcnab2	5	1	4
Pot1b	4	0	4
Kcnab3	7	4	3
Pot1a	15	4	11
Timm10b	1	0	1
Bad	106	84	22
Arhgap27os2	1	0	1
Ctnnbip1	269	205	64
RP23-380A10.6	1	1	0
Bax	6	0	6
Dennd3	1	0	1
A730071L15Rik	2	2	0
RP23-105M20.1	2	2	0
Lman1	39	3	36
Mdc1	10	1	9
RP23-428C21.2	23	23	0
Gm4221	1	0	1
Ptdss1	35	22	13
Lman2	41	25	16
Ngdn	74	54	20
Ptdss2	56	36	20
Clvs1	35	10	25
Smim20	59	50	9
Clvs2	6	5	1
Smim15	67	60	7
Smim14	23	2	21
RP23-152A20.2	3	0	3
Smim13	25	15	10
Smim19	57	36	21
Smim18	58	55	3
Smim17	2	0	2
Bbx	53	3	50
Rnf113a1	20	20	0
RP24-258K6.10	14	14	0
Rab11b	343	254	89
U2surp	234	2	232
Vwa5b2	8	0	8
Ngef	3	0	3
Rab11a	51	6	45
Rnf113a2	31	31	0
RP24-84B18.2	14	14	0
RP23-372I17.4	2	0	2
Supt3	23	13	10
RP23-372I17.5	4	4	0
Supt5	77	3	74
Tyw3	15	11	4
Gm6899	1	1	0
Tyw5	22	16	6
Eml1	16	3	13
Eml3	1	0	1
Eml2	19	5	14
Bcr	29	0	29
Eml5	13	0	13
Eml4	62	1	61
Snap47	228	170	58
Smim24	2	1	1
Eml6	1	0	1
Dapk1	50	4	46
Dapk2	1	0	1
Dapk3	93	69	24
Supt6	43	0	43
Avpr1a	1	0	1
Gabarap	901	862	39
RP23-8I8.4	2	2	0
RP23-8I8.2	1	1	0
Ngfr	3	2	1
Stmn1	611	348	263
Rspry1	50	30	20
RP24-64D24.3	1	1	0
Stmn2	2457	2143	314
Stmn3	1292	1212	80
Stmn4	619	532	87
Rsu1	41	26	15
RP24-459O21.3	2	0	2
Igsf21	29	15	14
Pmm2	37	19	18
Pmm1	144	137	7
Smim12	50	48	2
Aaas	25	15	10
Smim11	129	110	19
Snap29	20	9	11
RP23-46D6.7	2	2	0
RP23-46D6.5	3	3	0
Snap25	77	30	47
RP23-46D6.4	1	0	1
Dnttip2	110	28	82
Snap23	14	6	8
Dnttip1	62	37	25
Manbal	161	114	47
Rpusd4	18	14	4
Rpusd2	3	1	2
Rpusd3	10	6	4
Rpusd1	15	2	13
RP23-451B4.2	1	0	1
Tigd3	10	8	2
Tigd2	46	23	23
Tigd5	9	9	0
Mdfi	6	2	4
RP24-218M19.2	1	1	0
Emp1	2	0	2
Bgn	1	0	1
Rspo3	77	9	68
Emp2	8	8	0
Rspo2	4	1	3
Aacs	36	11	25
Bdh2	1	0	1
Bdh1	102	50	52
Cyp20a1	16	5	11
Aldh1l1	9	6	3
Pmp2	1	0	1
Aldh1l2	10	0	10
RP24-80F7.8	1	1	0
Mir22hg	1	0	1
RP24-272N4.1	6	0	6
AC117623.1	1	0	1
Champ1	25	13	12
RP23-151N17.1	12	12	0
Mef2d	10	0	10
RP23-461P14.1	3	3	0
RP24-401F19.1	4	4	0
Pms2	13	4	9
Bid	11	10	1
Pms1	8	2	6
Hinfp	8	4	4
Pcmt1	184	142	42
Veph1	24	16	8
Gsx2	6	6	0
Mdh1	417	381	36
Mdh2	603	521	82
Bik	2	1	1
Gsx1	7	6	1
Sssca1	150	132	18
RP24-333B11.5	1	1	0
Mef2a	48	10	38
RP24-333B11.4	4	4	0
Tigar	16	7	9
Mef2c	518	139	379
Asrgl1	58	44	14
Rcan1	43	34	9
RP24-228M19.1	840	840	0
Rcan2	11	5	6
Rcan3	4	0	4
Fam46a	4	2	2
RP23-109G18.5	1	0	1
Fam46c	6	2	4
Luzp1	48	0	48
Pptc7	5	0	5
Luzp2	14	0	14
Rita1	31	9	22
RP24-529L13.2	4	4	0
Cdkal1	28	7	21
Zufsp	11	3	8
Lag3	7	0	7
Snrnp70	315	147	168
Dzank1	6	1	5
AC121973.1	3	0	3
Mtmr10	7	1	6
Fam45a	21	12	9
Mtmr14	46	23	23
RP23-41F9.1	11	11	0
Mtmr12	5	1	4
Mtmr11	3	0	3
Trak1	84	0	84
Trak2	5	2	3
Traip	15	8	7
Snrnp40	169	146	23
RP23-97M20.1	3	3	0
Blm	22	4	18
RP23-310N21.2	1	1	0
Snrnp48	82	29	53
Rnu2-10	5	5	0
Tfcp2l1	4	0	4
Rps18-ps1	1	1	0
RP24-534C15.2	2	0	2
Bmf	2	2	0
Mdn1	21	2	19
Dscr3	50	32	18
Apmap	14	8	6
Igsf9b	8	0	8
Dhcr7	38	0	38
Fam43a	2	2	0
Mpdu1	89	79	10
Fam43b	10	10	0
RP23-384G1.1	2	0	2
Natd1	30	10	20
Mdm2	52	12	40
Aak1	41	0	41
Mdm4	65	20	45
Mdm1	14	0	14
Traf7	23	2	21
Erlec1	48	11	37
Traf4	187	148	39
Traf3	4	0	4
Bdnf	5	3	2
Traf6	6	1	5
Gm17250	1	0	1
Traf5	1	0	1
Snrnp25	95	89	6
RP23-421B5.3	1	0	1
Snrnp27	141	107	34
Gm5518	45	45	0
RP24-104I4.3	8	8	0
Tradd	31	4	27
Boc	10	3	7
RP23-446D4.5	1	1	0
Traf2	21	9	12
Traf1	1	0	1
Mdp1	24	22	2
Syngap1	5	0	5
Bok	101	67	34
Emx1	87	81	6
Emx2	49	37	12
RP23-446D4.7	1	1	0
RP23-164N7.3	1	1	0
Snrnp35	36	31	5
Pmvk	90	74	16
RP23-347F4.3	1	1	0
RP23-347F4.1	3	0	3
Bdp1	44	1	43
RP24-91E8.1	2	2	0
RP23-350M23.6	254	254	0
RP24-494I18.6	2	2	0
U2af1	453	412	41
RP23-273I12.1	2	0	2
Tapt1	10	3	7
Trabd	39	26	13
Lao1	1	1	0
U2af2	163	98	65
Nfasc	46	0	46
RP24-87I22.6	2	0	2
Rps6-ps4	347	347	0
Apopt1	52	40	12
Spag1	5	0	5
Emilin1	1	1	0
Spag9	166	1	165
Ngrn	72	66	6
Nfat5	45	10	35
Spag7	31	26	5
Spag8	2	2	0
Spag5	23	2	21
Bre	9	0	9
RP23-314I1.1	1	1	0
Spag6	5	0	5
Spag4	5	3	2
Aamp	163	133	30
RP23-38E20.8	1	0	1
Fcho1	31	7	24
Gpatch11	83	24	59
Fcho2	12	3	9
Lrrfip1	42	0	42
Lrrfip2	57	17	40
AC150313.1	1	1	0
Mdrl	2	2	0
RP23-112A11.3	1	1	0
Bsg	383	355	28
Bsn	14	0	14
RP23-335F6.3	19	8	11
Spast	73	7	66
RP24-227L14.1	23	0	23
RP23-311C19.1	35	14	21
RP24-217M7.4	10	0	10
RP23-311C19.3	6	0	6
Phlpp1	19	0	19
Phlpp2	14	1	13
Fermt2	53	1	52
Btc	1	1	0
Btd	10	7	3
RP23-35I8.10	1	1	0
RP24-152K14.1	2	2	0
Hip1r	22	1	21
Coq10a	38	28	10
Coq10b	55	25	30
Lap3	46	35	11
RP23-57L17.1	1	1	0
RP23-454K24.1	14	0	14
Hint1	1588	1571	17
Hint2	78	75	3
Hint3	17	14	3
RP23-454K24.3	4	4	0
Rtf1	349	5	344
RP23-189F6.3	1	1	0
Wapl	60	0	60
Trap1	38	23	15
AC127252.4	1	0	1
RP23-23B10.3	1	1	0
Swi5	614	575	39
Plxna4os3	1	0	1
RP23-117E23.1	1	1	0
Chtf18	8	2	6
Secisbp2l	42	2	40
RP23-23B10.4	5	0	5
Aar2	29	16	13
RP23-283N14.2	3	1	2
Rtcb	130	95	35
Rtca	74	56	18
Sec62	233	7	226
Aard	8	8	0
Sec63	46	6	40
RP24-347C6.4	5	0	5
RP24-347C6.5	3	3	0
Sparc	54	32	22
RP24-132G6.4	11	11	0
RP23-16D16.14	5	5	0
RP23-16D16.13	9	9	0
RP23-16D16.12	1	1	0
RP23-88C11.3	2	2	0
RP23-88C11.5	9	9	0
Wars	60	29	31
RP23-429I18.3	1	0	1
Spc24	105	95	10
Spc25	103	77	26
Enah	143	13	130
RP23-221O14.10	59	23	36
RP24-219E4.1	1	1	0
Enc1	188	41	147
RP24-409K22.3	1	0	1
Aars	39	7	32
Nploc4	16	4	12
Spty2d1	37	0	37
Aatk	19	1	18
Anks1b	20	0	20
Aatf	43	19	24
Lars	61	5	56
Fam49a	115	42	73
Fam49b	100	53	47
RP24-475M20.2	1	0	1
Tmtc3	5	0	5
Tmtc2	8	1	7
Vldlr	36	5	31
Tmtc1	2	0	2
RP23-33L24.1	1	0	1
Rps24-ps3	43	43	0
Rcc1l	3	0	3
RP23-231L15.4	5	5	0
Tmtc4	25	12	13
Klhdc8a	13	9	4
Garnl3	14	0	14
RP23-47G19.5	1	1	0
Sec13	134	100	34
Cyp2j6	9	5	4
Cyp2j9	2	1	1
Klhdc8b	28	21	7
n-R5s197	1	1	0
Gpatch2l	14	3	11
Camk2n1	65	51	14
RP23-469C2.1	2	2	0
Fabp3	77	72	5
Camk2n2	46	32	14
Fabp5	1952	1832	120
Fabp7	1591	1521	70
Wasl	75	0	75
Tram1	32	9	23
Mis12	47	18	29
Tram2	1	0	1
Adra2a	2	2	0
Adra2c	4	4	0
Lrp8os3	7	0	7
Nup35	41	32	9
Hist4h4	9	9	0
Cilp2	14	0	14
Rtl6	12	12	0
Nup37	39	27	12
Dmrt3	5	3	2
RP23-187H12.5	2	2	0
Pnck	56	34	22
RP23-303M15.7	1	1	0
RP23-187H12.4	1	0	1
Adra1a	3	0	3
RP23-110B5.3	3	2	1
Chil1	2	2	0
Nup43	56	46	10
RP23-451C8.1	1	0	1
Lekr1	8	6	2
RP23-81G14.3	6	0	6
Dscam	22	0	22
Dkc1	62	6	56
Dscc1	13	10	3
Hebp1	3	2	1
Rtn3	493	361	132
Hebp2	4	3	1
Rtn2	108	63	45
Rtn1	2811	2389	422
Nup50	49	24	25
Nup54	34	11	23
RP23-79E13.7	74	64	10
Layn	1	0	1
Rtn4	570	76	494
RP23-440J24.4	6	6	0
Rtkn	3	3	0
RP23-78H18.2	40	39	1
Nup62	18	0	18
Tdrd12	1	0	1
RP23-392H19.8	1	1	0
RP23-19L12.2	1	1	0
RP23-230D17.7	20	8	12
RP23-27C10.2	10	10	0
RP23-137I7.1	2	0	2
Azin2	10	3	7
Magohb	77	74	3
Pds5b	49	1	48
Isg15	2	2	0
RP24-171A4.1	1	0	1
Pds5a	42	1	41
Azin1	66	23	43
Igsf11	2	1	1
Igsf10	3	0	3
RP23-112F5.1	1	0	1
Abcf2	69	28	41
Mea1	197	27	170
Abcf3	33	21	12
Abcf1	155	19	136
Igbp1	88	77	11
RP23-45E20.1	10	0	10
RP23-328F20.2	4	0	4
Pcdha12	4	0	4
Cad	4	0	4
RP24-64D24.2	4	0	4
RP24-501J23.2	1	1	0
RP24-132A22.2	1	0	1
Abcg4	4	1	3
RP24-501J23.3	4	0	4
Abcg1	5	0	5
Abcg2	14	7	7
RP23-311P8.1	4	3	1
Nim1k	21	5	16
Enho	43	37	6
Chd1	49	0	49
Chd2	24	0	24
Chd3	581	15	566
Chd4	184	2	182
Chd5	32	0	32
Abca8a	1	0	1
Aplp1	463	333	130
Chd6	107	0	107
Abca8b	2	0	2
Aplp2	81	21	60
Cat	52	14	38
Chd7	111	22	89
Chd8	67	0	67
Chd9	75	0	75
RP23-368L6.1	3	0	3
RP23-458G12.3	23	23	0
Klhdc10	50	7	43
RP23-458G12.4	1	1	0
RP23-458G12.1	5	5	0
RP23-458G12.2	8	8	0
RP23-298M23.12	13	13	0
RP24-490B17.6	2	2	0
RP24-490B17.5	2	2	0
RP24-490B17.4	1	1	0
Cbl	44	7	37
Abcd1	10	2	8
Mutyh	5	0	5
Abcd4	8	2	6
Pnkd	131	118	13
Abcd2	14	2	12
Abcd3	55	26	29
Clec2l	9	7	2
RP24-490B17.3	3	3	0
AC139064.2	6	0	6
Cbs	16	9	7
RP24-490B17.1	1	1	0
Cd9	117	109	8
RP23-368K3.2	1	0	1
Ccp110	28	0	28
Atraid	148	130	18
RP23-114P22.5	2	1	1
RP23-167N13.2	39	39	0
RP23-401M24.5	1	1	0
Swt1	46	3	43
RP23-415I21.3	5	5	0
RP23-415I21.2	4	0	4
Cck	67	64	3
Abce1	66	24	42
RP24-191N24.2	1	1	0
Nr2c2ap	54	39	15
Ccs	43	34	9
Ebna1bp2	200	167	33
Sertm1	10	5	5
Chgb	39	18	21
Afg3l2	25	9	16
Afg3l1	88	58	30
RP23-262I3.3	1	1	0
Mecr	27	23	4
Rpl35	3406	3328	78
Rpl36	594	420	174
Rpl37	266	254	12
Eno1	515	391	124
Rpl38	56	47	9
Rpl39	430	414	16
Eno3	8	1	7
Eno2	12	7	5
Eno4	1	0	1
RP24-79P8.1	6	6	0
Gstk1	5	0	5
RP24-460O22.2	1	0	1
Lmbr1l	32	16	16
Rpl30	478	452	26
Rpl31	280	266	14
Shmt2	54	30	24
Suclg1	174	153	21
Rpl32	4935	4863	72
Rpl34	1149	925	224
Shmt1	9	7	2
Suclg2	9	6	3
RP23-154H8.1	1	1	0
RP23-262I3.4	5	5	0
Nkain4	55	36	19
Med1	53	6	47
Nkain3	23	0	23
Nkain2	4	0	4
Nkain1	9	7	2
Kcna6	1	1	0
Pnkp	37	20	17
Kcna4	4	0	4
Kcna3	1	1	0
Med8	116	42	74
Kcna2	3	0	3
AC115959.3	23	23	0
Med9	82	79	3
Kcna1	15	4	11
Rpl26	3075	2954	121
Rpl27	211	193	18
Abat	8	2	6
Rpl28	844	764	80
Med4	83	64	19
Rpl29	1816	1735	81
Dkk2	1	1	0
Med6	37	29	8
Dkk3	16	1	15
Med7	35	31	4
Chfr	55	29	26
Zfp780b	14	2	12
Rpl21	121	100	21
Rpl22	1383	915	468
Rpl23	3156	3048	108
RP24-75E15.4	1	0	1
Ube2l6	12	12	0
Ube2l3	288	223	65
Chga	69	40	29
Rab22a	44	34	10
Meg3	555	18	537
As3mt	6	4	2
Gm6741	5	5	0
Vopp1	63	29	34
CAAA01180111.2	18	0	18
CAAA01180111.1	4	0	4
Gstm7	61	44	17
Cfp	2	0	2
Gstm5	171	159	12
C2	1	0	1
Gstm6	4	3	1
Gstm4	6	5	1
Gstm1	39	30	9
Pnoc	6	4	2
RP23-459B19.1	2	2	0
B3glct	20	5	15
RP24-251M20.1	1	1	0
Cdkn2aipnl	50	26	24
Pno1	33	24	9
RP23-181A8.2	2	0	2
RP23-71E4.2	1	0	1
Hmgn2-ps1	13	13	0
Cgn	5	0	5
Terf2ip	64	47	17
Spaca6	5	0	5
RP23-261G3.4	1	0	1
Rpl41	1694	1577	117
Ppwd1	22	1	21
Rttn	2	0	2
Supt20	81	3	78
RP23-333L19.2	10	10	0
AC110559.1	3	3	0
G0s2	4	4	0
Chm	26	2	24
Sft2d2	2	2	0
Kcnd3	9	0	9
RP24-337I23.1	2	0	2
Kcnd2	6	0	6
Sft2d1	61	33	28
RP24-537H9.1	2	0	2
Kcnd1	3	1	2
RP24-537H9.2	1	0	1
Mnat1	57	17	40
