geneId	nbUmis	nbIsoformSet	nbIsoformNotSet
Adora2b	1	1	0
Adora2a	2	1	1
Rrp1	333	195	138
Fam50a	65	27	38
RP23-215B8.4	5	5	0
RP23-117O14.2	1	0	1
RP23-215B8.5	4	4	0
RP24-166N3.2	1	0	1
Vps35	108	45	63
Vps36	143	35	108
Elk1	11	0	11
Cyb561d2	29	25	4
Cyb561d1	5	1	4
Rrp9	70	55	15
Elk3	6	2	4
Vps39	21	0	21
RP23-215B8.3	7	7	0
Rrp8	32	13	19
Vps29	217	193	24
Elk4	7	0	7
Abcb7	10	0	10
Abcb4	2	0	2
Abcb5	1	0	1
Osbpl11	22	2	20
Abcb8	16	5	11
Tcp11l1	16	10	6
Osbpl10	1	0	1
Abcb9	7	1	6
Tcp11l2	24	11	13
RP23-205D10.4	1	0	1
Pcnx4	17	1	16
Thegl	1	0	1
Hus1	6	1	5
Vps28	29	0	29
Vps18	13	2	11
Chid1	34	23	11
Abcc1	7	0	7
Abcc8	8	0	8
Abcc5	34	15	19
RP23-135A21.6	1	1	0
Mcam	2	0	2
Vps11	20	11	9
RP24-396E16.1	5	5	0
Mcat	33	23	10
Vps16	31	6	25
Ankra2	68	43	25
Abr	76	11	65
Wdhd1	12	0	12
Bcan	20	4	16
Chic2	146	115	31
Bcam	3	3	0
Chic1	17	8	9
Rrs1	54	54	0
Gm20760	1	1	0
Plk5	2	0	2
Plk3	8	3	5
Plk4	18	7	11
Acd	88	45	43
Plk1	59	43	16
Plk2	93	52	41
Bmpr1a	26	4	22
Cyb561a3	2	0	2
Bmpr1b	7	1	6
Abca1	15	0	15
Abca2	8	0	8
Acr	2	0	2
Abca5	17	0	17
Abca3	34	3	31
z	1	1	0
Abca7	2	0	2
RP23-135A21.1	6	6	0
Ada	2	2	0
Pllp	1	1	0
Rrp12	4	1	3
Adk	48	41	7
Adm	1	1	0
Rrp15	33	27	6
Ado	20	20	0
Rpl37rt	631	0	631
Zik1	27	15	12
Diexf	11	0	11
Nup85	49	27	22
Lrrc7	114	80	34
RP23-37G19.2	2	0	2
Edrf1	8	1	7
Lrrc9	2	0	2
Nup88	68	11	57
Aen	95	81	14
Aes	272	228	44
Diras1	15	3	12
Diras2	3	0	3
Irak1bp1	115	103	12
Appbp2os	1	0	1
Zfp335os	3	3	0
Nup93	31	20	11
Lmbr1	15	1	14
Ep300	25	0	25
Gemin6	29	19	10
Gemin7	82	76	6
RP23-174K7.2	1	1	0
Nup98	2	1	1
Gemin4	1	0	1
Rrp36	14	5	9
Gemin5	5	0	5
Gemin8	17	16	1
Tbccd1	10	4	6
RP24-75H6.1	1	1	0
Nfib	1148	216	932
Nfia	143	4	139
RP23-252G18.2	11	11	0
Nfic	46	12	34
Lrrc3	4	0	4
Rrp1b	41	0	41
Lrrc4	11	0	11
Zim1	3	0	3
Fosb	21	1	20
Aga	5	4	1
Lrrc6	3	0	3
RP23-172P1.1	1	1	0
Lrrc1	8	4	4
Ankrd9	8	7	1
Agk	35	11	24
Agl	24	3	21
Elp2	42	20	22
Scand1	327	145	182
Elp4	30	23	7
Elp3	71	31	40
Pdzrn4	14	8	6
Elp6	48	37	11
Ankrd6	26	1	25
Elp5	85	22	63
RP23-393F10.2	1	1	0
Pdzrn3	31	4	27
Mcee	36	29	7
Gemin2	15	12	3
RP24-210F23.6	1	1	0
Plp2	31	25	6
Eloa	8	0	8
Eloc	300	256	44
Plp1	9	2	7
Elob	1163	772	391
RP23-258N2.3	1	1	0
Atxn3	18	6	12
Atxn1	18	0	18
Atxn2	51	3	48
Ripply2	6	5	1
Atxn7	25	0	25
Rimbp2	2	0	2
RP24-535N4.2	17	5	12
Ahr	11	0	11
RP23-428P5.10	2	2	0
Hist1h3d	2	2	0
Fam58b	52	52	0
Hist1h3e	10	10	0
Hist1h3b	12	12	0
Hist1h3c	14	14	0
Hist1h3h	2	2	0
RP23-355K21.4	1	1	0
Hist1h3i	2	2	0
RP23-355K21.3	2	2	0
Hist1h3f	4	4	0
RP23-355K21.2	13	13	0
Hist1h3g	2	2	0
Pls3	17	2	15
Oip5	8	6	2
Pls1	7	0	7
Hist1h3a	3	3	0
Nfix	1283	80	1203
RP23-242C11.1	2	2	0
Mtrf1	8	5	3
Ak1	52	33	19
RP23-464E7.4	3	0	3
Cfl1	2066	1864	202
Dio2	2	0	2
Ak3	45	32	13
Cfl2	410	306	104
Dio3	1	0	1
Ak2	138	107	31
Aip	74	58	16
Ak5	1	1	0
Ak4	2	2	0
Ak6	7	0	7
Ak8	1	0	1
AC127266.4	4	4	0
Fam57a	3	2	1
Fam57b	159	119	40
Thg1l	3	1	2
RP24-234J3.2	6	0	6
RP24-234J3.3	1	0	1
Porcn	18	4	14
Cnot11	27	17	10
Eif4ebp2	40	18	22
Eif4ebp1	13	12	1
Hist1h1b	70	70	0
Hist1h1c	192	192	0
Hist1h1a	14	14	0
Hist1h1d	16	16	0
Hist1h1e	243	243	0
Angel2	98	18	80
Cnot10	30	7	23
Angel1	4	1	3
Vsig10	2	0	2
RP23-359K17.2	19	19	0
Mcl1	55	20	35
Bcl9	78	19	59
Bcl6	2	0	2
Bcl2	37	0	37
RP23-448H3.2	9	9	0
Tsen2	59	12	47
Pdlim3	5	3	2
Pdlim2	1	1	0
Alk	2	0	2
Gm6960	1	0	1
Pdlim1	7	6	1
RP23-266O23.4	1	0	1
Vps72	220	185	35
Mcm7	138	75	63
Mcm8	15	3	12
Mcm9	2	0	2
Tnks1bp1	10	0	10
Birc2	58	10	48
Pdlim7	123	76	47
Birc6	68	0	68
Pdlim5	6	1	5
Birc5	162	142	20
Pdlim4	66	55	11
RP23-127B8.7	14	0	14
RP23-127B8.5	28	0	28
Nfkbil1	29	23	6
AC171273.3	2	1	1
RP24-109N11.4	5	0	5
Amn	2	0	2
Rrp7a	71	57	14
RP23-140G16.2	3	1	2
Dis3	26	6	20
AC113271.1	2	0	2
RP23-140G16.1	20	12	8
Them4	39	31	8
Amt	1	0	1
Them6	5	4	1
Fam53a	38	26	12
Fam53b	38	11	27
Fam53c	18	0	18
Osbp2	4	1	3
Vps4a	137	87	50
Vps4b	25	5	20
Mcm3	51	20	31
Mcm4	25	16	9
Mcm5	51	36	15
Mcm6	86	52	34
Pltp	3	1	2
Mcm2	68	31	37
Ank	11	1	10
RP24-340J3.3	10	10	0
Inafm2	5	5	0
Inafm1	41	41	0
Vps50	64	44	20
Vps51	1	0	1
RP23-214M22.2	2	0	2
Vps52	36	1	35
Vps53	36	9	27
9130008F23Rik	3	3	0
Vps54	7	0	7
Osbpl1a	24	3	21
D2hgdh	7	2	5
RP24-297D18.1	9	6	3
D930015E06Rik	74	10	64
Nfs1	15	9	6
Lrrk1	2	0	2
Lrrk2	1	0	1
C1d	172	157	15
Arrb2	27	10	17
Arrb1	11	0	11
RP23-214M22.8	1	1	0
RP24-340J3.2	7	7	0
Bod1l	178	1	177
Vps41	96	33	63
Hist1h4n	3	3	0
Vps45	22	13	9
Iars2	10	2	8
Dpagt1	12	1	11
Hist1h4d	24	24	0
Hist1h4i	70	70	0
Hist1h4j	1	1	0
Apc	142	2	140
Mpc1-ps	27	27	0
Hist1h4h	11	11	0
Hist1h4b	6	6	0
Enox1	29	1	28
Enox2	6	1	5
App	147	81	66
Abcb10	6	0	6
Surf6	26	13	13
Fnip1	16	1	15
Fnip2	6	0	6
Sh3glb1	180	83	97
RP23-272F2.2	1	0	1
Sh3glb2	60	36	24
AC124730.5	1	0	1
Nfu1	100	83	17
AC124730.7	3	3	0
RP23-79J15.4	7	0	7
Fbxl12os	7	0	7
RP23-79J15.5	1	0	1
Cyp1b1	1	0	1
Gsap	10	1	9
Cxxc1	42	18	24
Bcor	11	1	10
Cxxc4	25	1	24
Scamp3	55	47	8
Cxxc5	74	5	69
Scamp2	48	30	18
Scamp1	59	13	46
RP23-239I17.1	3	0	3
RP23-239I17.2	6	6	0
RP23-239I17.3	8	8	0
Scamp5	22	3	19
RP23-239I17.4	45	45	0
Aqr	23	0	23
Vps37a	34	16	18
RP23-239I17.5	58	58	0
Grpel2	68	58	10
Vps37b	139	107	32
RP23-138K13.1	1	1	0
RP23-239I17.7	27	27	0
Vps37c	45	14	31
Grpel1	132	126	6
Vps37d	47	35	12
Scn10a	1	0	1
Cnot6l	44	18	26
RP23-52J10.4	3	3	0
RP23-52J10.5	7	7	0
Tram1l1	37	37	0
RP23-52J10.6	3	3	0
Arc	3	3	0
Svbp	319	284	35
Hnrnpr	334	97	237
Pcdhb16	2	2	0
Pcdhb17	6	6	0
Pcdhb18	1	1	0
Arx	219	91	128
Hnrnpu	562	168	394
Pcdhb19	1	1	0
RP23-206J17.2	5	5	0
Saxo2	5	3	2
RP23-415B4.3	2	1	1
Pcdhb13	1	1	0
Gse1	61	2	59
Pcdhb14	3	3	0
Pcdhb15	3	3	0
Asl	17	13	4
Pcdhb10	2	2	0
Cftr	2	0	2
Acer2	6	5	1
RP23-263O11.1	19	0	19
Acer3	1	0	1
Lrrn1	23	11	12
Surf1	69	44	25
Lrrn2	20	5	15
