"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmem158",1.62338420164544e-21,0.4790570157652,0.673,0.279,4.54515108776689e-17,"0","Tmem158"
"Ube2ql1",3.16129705049373e-21,0.440052978866073,0.613,0.239,8.85099948197234e-17,"0","Ube2ql1"
"Cdkn1c",8.51514222015884e-21,0.503795606700462,0.82,0.459,2.38406951880007e-16,"0","Cdkn1c"
"Gucy1b3",9.30084314837705e-21,0.331056978483842,0.393,0.104,2.60405006468261e-16,"0","Gucy1b3"
"Cnih2",1.7566310172511e-20,0.458503740729775,0.9,0.543,4.91821552209964e-16,"0","Cnih2"
"Lrrtm1",2.4330736000785e-20,0.266098568665581,0.4,0.109,6.8121194654998e-16,"0","Lrrtm1"
"Ptms",2.84043942451803e-20,0.34081635774719,1,0.97,7.95266230076557e-16,"0","Ptms"
"Acot7",4.52989525631234e-20,0.408867503342621,0.82,0.422,1.26828007386233e-15,"0","Acot7"
"Efna3",5.68845146993545e-20,0.298631584784115,0.447,0.136,1.59265264255253e-15,"0","Efna3"
"Syt5",8.54146493773291e-20,0.367084825875057,0.627,0.25,2.39143935326646e-15,"0","Syt5"
"Crlf1",2.40531426503647e-19,0.323054054436014,0.36,0.097,6.73439887924911e-15,"0","Crlf1"
"Hs6st2",2.50613638185901e-19,0.371457462670641,0.52,0.184,7.01668064192886e-15,"0","Hs6st2"
"Fabp3",6.67605796763214e-19,0.334690564223676,0.527,0.189,1.86916270977765e-14,"0","Fabp3"
"Gpm6a",6.73821508987323e-19,0.539884570616932,0.907,0.74,1.88656546086271e-14,"0","Gpm6a"
"Ptn",1.33233940569189e-18,0.626140157537702,0.907,0.61,3.73028386805616e-14,"0","Ptn"
"Crip2",1.45078556558344e-18,0.424346119344924,0.98,0.768,4.06190942652052e-14,"0","Crip2"
"Nrxn1",1.63414980692593e-18,0.413861646251532,0.793,0.404,4.57529262943123e-14,"0","Nrxn1"
"Tmsb10",2.6039297284797e-18,0.370847970474836,1,0.999,7.29048245379747e-14,"0","Tmsb10"
"Dpysl3",2.87914051250175e-18,0.378580866424816,1,0.915,8.06101760690239e-14,"0","Dpysl3"
"Jph4",3.59945610890538e-18,0.385493079143939,0.773,0.382,1.00777572137133e-13,"0","Jph4"
"Ppia",4.47666217957807e-18,0.261738801371601,1,1,1.25337587703827e-13,"0","Ppia"
"Fam174b",8.44942573358287e-18,0.27960719641842,0.427,0.139,2.36567021688853e-13,"0","Fam174b"
"Tubb3",8.79586159681468e-18,0.387996854957014,1,0.968,2.46266532987617e-13,"0","Tubb3"
"Stmn3",1.02264087610647e-17,0.359531017998883,0.993,0.944,2.86318992492289e-13,"0","Stmn3"
"Gap43",1.02525141098575e-17,0.395509078490083,0.927,0.615,2.8704989004779e-13,"0","Gap43"
"Crmp1",1.07945561752897e-17,0.363633416825456,1,0.898,3.02225983795762e-13,"0","Crmp1"
"Ncam1",1.17064321835246e-17,0.42458393240975,0.98,0.794,3.27756688274321e-13,"0","Ncam1"
"Hivep2",1.59839365323067e-17,0.41164968056928,0.467,0.172,4.47518255031522e-13,"0","Hivep2"
"Add2",1.75347851655112e-17,0.378104295779488,0.813,0.429,4.90938915063983e-13,"0","Add2"
"Celf2",1.80435234441668e-17,0.421692674749477,0.973,0.927,5.05182569389782e-13,"0","Celf2"
"Sobp",6.22812100741034e-17,0.420595091621226,0.727,0.363,1.74374931965475e-12,"0","Sobp"
"Tubb2a",1.26929799194283e-16,0.376701513685939,0.987,0.866,3.55378051784154e-12,"0","Tubb2a"
"Camkv",1.30365019631654e-16,0.258957928960611,0.36,0.106,3.64995981964706e-12,"0","Camkv"
"Serf1",1.48202437061081e-16,0.378538668828115,0.987,0.924,4.14937183283614e-12,"0","Serf1"
"Cntn2",1.86144636905308e-16,0.521728656744175,0.733,0.393,5.2116775440748e-12,"0","Cntn2"
"Serp2",2.02582667672805e-16,0.418802510160343,0.86,0.533,5.67190952950319e-12,"0","Serp2"
"mt-Cytb",2.55702784247841e-16,0.365573469316543,1,0.993,7.15916655337105e-12,"0","mt-Cytb"
"Tspan13",3.91858078286557e-16,0.400780859974167,0.927,0.686,1.0971242475867e-11,"0","Tspan13"
"Dlg2",4.01994125478315e-16,0.272371726259812,0.38,0.12,1.12550315251419e-11,"0","Dlg2"
"Fdft1",6.76334862718943e-16,0.401170644346155,0.847,0.566,1.8936023486405e-11,"0","Fdft1"
"Sncb",7.6782189012832e-16,0.289602708616463,0.407,0.137,2.14974772798127e-11,"0","Sncb"
"Plxna4",8.69778154692801e-16,0.356334358128384,0.633,0.279,2.4352048775089e-11,"0","Plxna4"
"Lrrc73",9.09320767118619e-16,0.259165551294819,0.38,0.126,2.54591628377871e-11,"0","Lrrc73"
"Aprt",1.41914058829406e-15,0.37604996433374,0.907,0.641,3.97330981910572e-11,"0","Aprt"
"Map9",1.85358622296686e-15,0.359334103790497,0.76,0.413,5.1896707070626e-11,"0","Map9"
"mt-Nd4",4.63767794279166e-15,0.351340912339594,1,0.993,1.29845707042281e-10,"0","mt-Nd4"
"Nckap5",1.19504038970561e-14,0.320455651516031,0.38,0.137,3.34587408309777e-10,"0","Nckap5"
"Rell2",2.04880643444736e-14,0.262266268289195,0.433,0.159,5.73624825516573e-10,"0","Rell2"
"Clmp",2.21222831839278e-14,0.369640800098357,0.8,0.451,6.19379684583611e-10,"0","Clmp"
"Ttc28",2.6242190789924e-14,0.375010669803091,0.927,0.621,7.34728857736291e-10,"0","Ttc28"
"Stmn4",3.80464373334221e-14,0.339037169301808,0.98,0.795,1.06522415246115e-09,"0","Stmn4"
"Gsto1",4.11637266689441e-14,0.348762193146324,0.72,0.414,1.1525020192771e-09,"0","Gsto1"
"Ppp3ca",5.56242563872252e-14,0.453305883608919,0.9,0.637,1.55736793032953e-09,"0","Ppp3ca"
"Tmem108",6.38257385896348e-14,0.513514605473018,0.727,0.425,1.7869930290326e-09,"0","Tmem108"
"Shtn1",9.66852458424838e-14,0.327051229907541,0.853,0.503,2.70699351309786e-09,"0","Shtn1"
"Nme2",1.09958419753511e-13,0.303972323782278,0.64,0.311,3.07861583625880e-09,"0","Nme2"
"mt-Co2",1.2853336162137e-13,0.306301854709279,1,0.995,3.59867705867512e-09,"0","mt-Co2"
"S100a10",1.30345186381235e-13,0.407242310404276,0.633,0.317,3.64940452830181e-09,"0","S100a10"
"Camkk2",1.46373884390543e-13,0.306631339246905,0.62,0.294,4.09817601516642e-09,"0","Camkk2"
"Cck",2.83623414282418e-13,0.426851706881624,0.387,0.146,7.94088835307915e-09,"0","Cck"
"Baiap2",3.10738702066995e-13,0.283351294064029,0.38,0.141,8.70006218047173e-09,"0","Baiap2"
"Phactr1",3.36987546524655e-13,0.348604443241365,0.727,0.409,9.43497732759728e-09,"0","Phactr1"
"Lingo1",4.13242597849488e-13,0.275691668249709,0.42,0.165,1.156996625459e-08,"0","Lingo1"
"Adgrl2",4.18447128196694e-13,0.277614765602118,0.52,0.226,1.1715682695251e-08,"0","Adgrl2"
"Bhlhe22",4.18783342699363e-13,0.384277261568404,0.66,0.333,1.17250960288968e-08,"0","Bhlhe22"
"Gm1673",4.53395946639452e-13,0.278421191676248,1,0.993,1.26941797140114e-08,"0","Gm1673"
"Trim67",6.61580633013468e-13,0.255041610950119,0.427,0.168,1.85229345631111e-08,"0","Trim67"
"Nenf",6.92169904829513e-13,0.349323419991051,0.927,0.68,1.93793729954167e-08,"0","Nenf"
"Ppp1r14c",9.12784479436681e-13,0.336844302930878,0.413,0.162,2.55561398552682e-08,"0","Ppp1r14c"
"Aig1",1.18839437662702e-12,0.257409882206868,0.573,0.262,3.32726657568033e-08,"0","Aig1"
"Tnik",1.19976011869606e-12,0.350109911521708,0.74,0.426,3.35908838032522e-08,"0","Tnik"
"Prkce",1.46740802400555e-12,0.266854860585989,0.553,0.253,4.10844898561074e-08,"0","Prkce"
"Rab3a",1.48664533775097e-12,0.302857968959128,0.94,0.784,4.16230961663515e-08,"0","Rab3a"
"Hecw1",1.61087978646401e-12,0.277596002795787,0.593,0.272,4.51014122614195e-08,"0","Hecw1"
"mt-Nd2",1.68888920051013e-12,0.308918762132631,1,0.972,4.72855198358826e-08,"0","mt-Nd2"
"Frmd4a",1.74238272559444e-12,0.349648850408541,0.793,0.499,4.87832315511931e-08,"0","Frmd4a"
"Msra",1.81476682801288e-12,0.337953832129091,0.647,0.359,5.08098416507046e-08,"0","Msra"
"Ctxn1",2.69240637046129e-12,0.301497920216583,0.947,0.757,7.53819935601752e-08,"0","Ctxn1"
"Coro1a",2.78467522773531e-12,0.259688256164389,0.6,0.294,7.79653370261332e-08,"0","Coro1a"
"Ank2",3.10766625141832e-12,0.371859022744441,0.82,0.511,8.700843970721e-08,"0","Ank2"
"Nrip1",3.12321718484391e-12,0.543847925253044,0.46,0.216,8.74438347412598e-08,"0","Nrip1"
"Atp5g1",4.3009960829147e-12,0.28068505935663,0.993,0.915,1.20419288329446e-07,"0","Atp5g1"
"Smarcd3",5.0807448312679e-12,0.331512898706271,0.78,0.454,1.42250693785839e-07,"0","Smarcd3"
"Lmo4",6.11396196031542e-12,0.455480515485121,0.853,0.636,1.71178706964911e-07,"0","Lmo4"
"Prr7",7.05686964056656e-12,0.307490645069155,0.667,0.373,1.97578236196583e-07,"0","Prr7"
"Igfbp2",8.75721349486822e-12,0.263617474169049,0.833,0.492,2.4518446342932e-07,"0","Igfbp2"
"Myt1l",1.14812490938342e-11,0.331265574763663,0.82,0.531,3.21452012129171e-07,"0","Myt1l"
"Nsg1",1.27021977575971e-11,0.301682068667991,0.96,0.918,3.55636132817203e-07,"0","Nsg1"
"Ppp1r1a",2.10804193664574e-11,0.299073751154113,0.64,0.352,5.90209581422073e-07,"0","Ppp1r1a"
"Aplp1",3.41072014421308e-11,0.28868126117859,0.94,0.768,9.54933425976777e-07,"0","Aplp1"
"Schip1.1",3.47985206965565e-11,0.324560002719291,0.36,0.146,9.74288982462189e-07,"0","Schip1.1"
"Mllt11",3.93851381493939e-11,0.280428447640376,0.973,0.908,1.10270509790673e-06,"0","Mllt11"
"Ldha",5.0430694883883e-11,0.264962660851977,0.88,0.587,1.41195859535896e-06,"0","Ldha"
"mt-Nd5",5.69169293901504e-11,0.330857069226643,0.887,0.683,1.59356018906543e-06,"0","mt-Nd5"
"Itsn1",6.14258217744805e-11,0.30265399486621,0.693,0.405,1.7198001580419e-06,"0","Itsn1"
"Srm",6.31475047418554e-11,0.300505014555961,0.787,0.495,1.76800383776247e-06,"0","Srm"
"Bex4",1.0641149988778e-10,0.297823800999157,0.9,0.671,2.97930917385805e-06,"0","Bex4"
"Cacna2d1",1.37361061622798e-10,0.281912169332967,0.46,0.215,3.84583500331511e-06,"0","Cacna2d1"
"Bex1",1.47943392329622e-10,0.291856132009934,0.927,0.701,4.14211909844477e-06,"0","Bex1"
"1110008P14Rik",1.4943217976527e-10,0.263532709610812,0.647,0.356,4.18380216906804e-06,"0","1110008P14Rik"
"Basp1",1.59808766937485e-10,0.28133459769762,1,0.923,4.47432585671571e-06,"0","Basp1"
"Bach2",2.61943254689958e-10,0.264432458863033,0.607,0.325,7.33388724480945e-06,"0","Bach2"
"Myl12b",3.08363641710381e-10,0.256962022121836,0.933,0.696,8.63356524060725e-06,"0","Myl12b"
"Tubb4a",3.604328416501e-10,0.310851541211224,0.72,0.423,1.00913987005195e-05,"0","Tubb4a"
"Svbp",4.10864985679174e-10,0.250667497775579,0.927,0.761,1.15033978690455e-05,"0","Svbp"
"Nop10",4.62788106873973e-10,0.273307105479157,0.953,0.819,1.29571414162575e-05,"0","Nop10"
"Hcfc1r1",5.05136733427085e-10,0.26427405919997,0.927,0.692,1.41428182624915e-05,"0","Hcfc1r1"
"Arpc3",5.11653414373831e-10,0.27264216892019,0.96,0.873,1.43252722956385e-05,"0","Arpc3"
"Csrnp3",6.18390902130162e-10,0.276990790934974,0.527,0.261,1.73137084778403e-05,"0","Csrnp3"
"Uchl3",6.70380788304127e-10,0.321894554137148,0.873,0.657,1.87693213109389e-05,"0","Uchl3"
"Nfix",1.20579504757235e-09,0.269160695053578,0.96,0.711,3.37598497419306e-05,"0","Nfix"
"Fasn",1.22659405416357e-09,0.279120116019159,0.513,0.273,3.43421803284716e-05,"0","Fasn"
"Nav2",2.05641178743167e-09,0.281940838926764,0.54,0.281,5.75754172245118e-05,"0","Nav2"
"Gria2",2.57540331577356e-09,0.294620723345022,0.933,0.711,7.21061420350281e-05,"0","Gria2"
"mt-Co3",2.83073472888541e-09,0.275296339708905,1,1,7.92549109393337e-05,"0","mt-Co3"
"Hmgcs1",2.88952607627882e-09,0.318246839217719,0.787,0.524,8.09009510836544e-05,"0","Hmgcs1"
"Fdps",3.24313905367232e-09,0.28601480862567,0.867,0.607,9.08014072247176e-05,"0","Fdps"
"Ndufb2",4.67957015988367e-09,0.265570002289343,0.953,0.859,0.000131018605336423,"0","Ndufb2"
"Mgst3",5.4870345210149e-09,0.268497666136423,0.667,0.394,0.000153625992519375,"0","Mgst3"
"Ssbp3",7.23062145907444e-09,0.25330905663452,0.76,0.535,0.000202442939611166,"0","Ssbp3"
"mt-Nd3",7.80547372000726e-09,0.290032461281297,0.973,0.87,0.000218537653212763,"0","mt-Nd3"
"Ssbp2",8.63338591848067e-09,0.366796809209763,0.853,0.634,0.000241717538945622,"0","Ssbp2"
"Eny2",9.28519135063156e-09,0.274305397094259,0.927,0.694,0.000259966787434982,"0","Eny2"
"Bzw2",1.03059272400745e-08,0.308649654004859,0.96,0.887,0.000288545350867606,"0","Bzw2"
"mt-Nd1",1.08579158835935e-08,0.263748479053677,1,0.996,0.00030399992890885,"0","mt-Nd1"
"mt-Nd4l",3.24257534294783e-08,0.250253130721216,0.64,0.4,0.000907856244518532,"0","mt-Nd4l"
"Dpysl5",3.49886947892836e-08,0.279268087007403,0.873,0.663,0.000979613476710362,"0","Dpysl5"
"Sh3bgrl3",5.17087539286736e-08,0.262230512717704,0.893,0.738,0.001447741692495,"0","Sh3bgrl3"
"Tgfbr1",1.77269949925255e-07,0.325689787070369,0.393,0.208,0.00496320405800729,"0","Tgfbr1"
"Csrp2",2.51671214749787e-07,0.256762890478547,0.853,0.6,0.00704629067056452,"0","Csrp2"
"Zfp462",2.73832701333739e-06,0.278994127907984,0.66,0.473,0.0766676797194202,"0","Zfp462"
"Ptprk",8.67423759218801e-06,0.331296770612885,0.28,0.141,0.24286130410608,"0","Ptprk"
"Enc1",0.000243918414619552,0.250882639271479,0.587,0.422,1,"0","Enc1"
"Gm9844",0.000841466647319178,0.277728285866537,0.613,0.438,1,"0","Gm9844"
"Neurod21",2.69452105877191e-44,0.879250604762224,0.987,0.512,7.54412006034959e-40,"1","Neurod2"
"Sox11",2.37309860951045e-43,0.717190683648822,1,0.984,6.64420148690735e-39,"1","Sox11"
