"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Nr2e1",6.30350470936167e-60,0.583132860901824,0.629,0.053,1.76485524852708e-55,"radial glia","Nr2e1"
"S1pr1",8.31192794000017e-60,0.419294486487685,0.443,0.02,2.32717358464125e-55,"radial glia","S1pr1"
"Ndrg2",1.53811987920024e-59,1.88673621518914,1,0.294,4.30642803778484e-55,"radial glia","Ndrg2"
"Ddah1",3.52479983229264e-59,1.95830576391414,0.914,0.197,9.86873457045293e-55,"radial glia","Ddah1"
"Tagln2",5.10332304891142e-59,0.680261279020172,0.486,0.028,1.42882838723422e-54,"radial glia","Tagln2"
"Clu",6.2858518998779e-59,1.27103497394708,0.714,0.088,1.75991281492781e-54,"radial glia","Clu"
"Kcne1l",2.29116192431068e-58,0.769341598725705,0.657,0.064,6.41479515568504e-54,"radial glia","Kcne1l"
"Kbtbd11",9.82750261893588e-58,0.629672036222818,0.657,0.063,2.75150418324967e-53,"radial glia","Kbtbd11"
"Nacc2",5.45039023935688e-57,0.768234726102765,0.8,0.102,1.52600025921514e-52,"radial glia","Nacc2"
"Vit",6.73668998152237e-57,0.445418729611099,0.429,0.02,1.88613846102663e-52,"radial glia","Vit"
"Trim47",1.0075369152069e-56,0.345107954865163,0.329,0.008,2.82090185519628e-52,"radial glia","Trim47"
"Camk2d",1.36418859061027e-56,0.56578930298382,0.629,0.057,3.81945521599064e-52,"radial glia","Camk2d"
"Fgfr3",4.21197816286269e-56,0.493911459900437,0.529,0.038,1.1792696460383e-51,"radial glia","Fgfr3"
"Kcnj10",4.87399229491022e-56,0.457210084754953,0.429,0.021,1.36462036272896e-51,"radial glia","Kcnj10"
"Plcd4",5.33714550028343e-56,0.271140045372797,0.286,0.004,1.49429399716935e-51,"radial glia","Plcd4"
"Cyr61",6.45618194039027e-56,0.909242910265601,0.657,0.07,1.80760181967047e-51,"radial glia","Cyr61"
"Tfap2c",9.1315615315754e-56,0.372308847821415,0.486,0.029,2.55665459761048e-51,"radial glia","Tfap2c"
