"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","transcriptId"
"Clta..ENSMUST00000107849.93",8.25284512013313e-08,-1.16255850229572,0.071,0.625,0.00260096666806116,"Cajal-Retzius","radial glia vs Cajal-Retzius","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000107851.9",1.40860916688144e-07,-0.81309900469758,0,0.375,0.00443937265034354,"Cajal-Retzius","radial glia vs Cajal-Retzius","Clta","ENSMUST00000107851.9"
"Clta..ENSMUST00000170241.73",8.93323288116101e-07,1.31199966103772,0.9,0.188,0.028153976748267,"radial glia","radial glia vs Cajal-Retzius","Clta","ENSMUST00000170241.7"
"Clta..ENSMUST00000107849.94",7.60326467250399e-22,-1.01296454286575,0.37,0.799,2.39624489418636e-17,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.74",2.73165393712999e-15,0.697360774580173,0.832,0.457,8.60908054825888e-11,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Clta","ENSMUST00000170241.7"
"Dpysl3..ENSMUST00000025379.13",1.12133839049082e-14,-0.69969647210043,0.706,0.893,3.53401007147088e-10,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Dpysl3","ENSMUST00000025379.13"
"Dpysl3..ENSMUST00000121805.7",7.81614464118261e-09,0.406923202736601,0.151,0.004,0.000246333614511511,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Dpysl3","ENSMUST00000121805.7"
"Gas5..ENSMUST00000162558.74",1.40625147542363e-09,0.480142667684253,0.479,0.158,4.43194214994513e-05,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Gas5","ENSMUST00000162558.7"
"Gas5..ENSMUST00000159706.74",1.67582871290772e-09,-0.544822761725689,0.765,0.85,5.28154177159996e-05,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Gas5","ENSMUST00000159706.7"
"Clta..ENSMUST00000107849.95",2.09961741646552e-30,-1.16316776031007,0.37,0.86,6.61715424973274e-26,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.75",2.8324531341435e-22,0.899600511513701,0.832,0.478,8.92675929756664e-18,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Clta","ENSMUST00000170241.7"
"Dpysl3..ENSMUST00000025379.131",2.82447692902883e-22,-0.982400485753601,0.706,0.921,8.90162148952727e-18,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Dpysl3","ENSMUST00000025379.13"
"Dpysl3..ENSMUST00000121805.71",8.19638834994819e-09,0.403332966685969,0.151,0.011,0.000258317375236967,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Dpysl3","ENSMUST00000121805.7"
"Gas5..ENSMUST00000162558.75",9.9640746172666e-11,0.559554662350052,0.479,0.176,3.14027775637774e-06,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Gas5","ENSMUST00000162558.7"
"Gas5..ENSMUST00000159706.75",7.1357812467733e-09,-0.475473524837604,0.765,0.899,0.000224891281773307,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","ENSMUST00000159706.7"
"Clta..ENSMUST00000107849.96",2.22455329105952e-22,-1.28887503726662,0.37,0.792,7.01090215210319e-18,"mature GABAergic","cycling radial glia vs mature GABAergic","Clta","ENSMUST00000107849.9"
"Clta..ENSMUST00000170241.76",2.90228858919486e-15,0.735778016772062,0.832,0.312,9.14685271770651e-11,"cycling radial glia","cycling radial glia vs mature GABAergic","Clta","ENSMUST00000170241.7"
"Myl6..ENSMUST00000164181.11",2.96823336402805e-11,-0.717552731227634,0.697,0.792,9.35468427007082e-07,"mature GABAergic","cycling radial glia vs mature GABAergic","Myl6","ENSMUST00000164181.1"
"Myl6..ENSMUST00000218127.11",3.22505264373393e-10,0.431639887655555,0.546,0.145,1.01640759119918e-05,"cycling radial glia","cycling radial glia vs mature GABAergic","Myl6","ENSMUST00000218127.1"
"Dpysl3..ENSMUST00000025379.132",3.32807979739157e-08,-0.75727638279068,0.706,0.803,0.00104887762894593,"mature GABAergic","cycling radial glia vs mature GABAergic","Dpysl3","ENSMUST00000025379.13"
"Dpysl3..ENSMUST00000121805.72",7.8625134742956e-07,0.400444572327502,0.151,0.006,0.02477949746559,"cycling radial glia","cycling radial glia vs mature GABAergic","Dpysl3","ENSMUST00000121805.7"
"Rps24..ENSMUST00000223999.1",2.9901091600257e-13,-1.50074770178431,0.109,0.812,9.423628028737e-09,"Cajal-Retzius","cycling radial glia vs Cajal-Retzius","Rps24","ENSMUST00000223999.1"
"Rps24..ENSMUST00000169826.2",4.63216102300308e-07,0.719328302702376,0.992,1,0.0145987186800965,"cycling radial glia","cycling radial glia vs Cajal-Retzius","Rps24","ENSMUST00000169826.2"
"Clta..ENSMUST00000170241.77",4.84907096562161e-08,0.702404606545976,0.701,0.457,0.00152823320552531,"intermediate progenitor","intermediate progenitor vs imature Glutamatergic","Clta","ENSMUST00000170241.7"
"Clta..ENSMUST00000107849.97",8.09887162908363e-07,-0.500538224325002,0.54,0.799,0.02552440382622,"imature Glutamatergic","intermediate progenitor vs imature Glutamatergic","Clta","ENSMUST00000107849.9"
"Myl6..ENSMUST00000218127.12",6.43267836380878e-13,0.866023101287521,0.667,0.356,2.02732291313798e-08,"intermediate progenitor","intermediate progenitor vs mature Glutamatergic","Myl6","ENSMUST00000218127.1"
