"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","contrast","geneId","junctionId"
"Gas5..161037164-1610372872",1.22812384481917e-16,0.447475716389271,0.8,0.194,1.13651808723411e-11,"radial glia","radial glia vs imature GABAergic","Gas5","161037164-161037287"
"Gas5..161036852-1610371232",1.37379112944033e-16,0.444574608273998,0.8,0.194,1.27132004909538e-11,"radial glia","radial glia vs imature GABAergic","Gas5","161036852-161037123"
"Gas5..161036852-1610372872",8.48435833998577e-12,-0.510876433840853,0.786,0.924,7.85151005140623e-07,"imature GABAergic","radial glia vs imature GABAergic","Gas5","161036852-161037287"
"Ergic3..156011406-1560159882",9.35214526688625e-29,0.32485569353344,0.7,0.029,8.65456875142921e-24,"radial glia","radial glia vs mature GABAergic","Ergic3","156011406-156015988"
"Ergic3..156011406-1560153762",8.69786644535096e-12,-0.408428624139218,0.086,0.538,8.04909258719223e-07,"mature GABAergic","radial glia vs mature GABAergic","Ergic3","156011406-156015376"
"Ergic3..156015391-1560159882",1.84571448543605e-11,-0.40456015512914,0.1,0.538,1.70804264196738e-06,"mature GABAergic","radial glia vs mature GABAergic","Ergic3","156015391-156015988"
"Clta..44025560-440302142",2.09572288128133e-23,-0.764432709425392,0.071,0.827,1.93940291156655e-18,"mature GABAergic","radial glia vs mature GABAergic","Clta","44025560-44030214"
"Clta..44030268-440324002",2.27857495839904e-23,-0.754927029378032,0.071,0.827,2.10861605225205e-18,"mature GABAergic","radial glia vs mature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440324002",2.6331873740363e-17,0.42886105621739,0.929,0.335,2.43677792780693e-12,"radial glia","radial glia vs mature GABAergic","Clta","44025560-44032400"
"Gas5..161037164-1610372873",8.31244335516222e-21,0.464512492726343,0.8,0.15,7.69241820530067e-16,"radial glia","radial glia vs mature GABAergic","Gas5","161037164-161037287"
"Gas5..161036852-1610371233",9.09989359954848e-21,0.46161138461107,0.8,0.15,8.42113253595816e-16,"radial glia","radial glia vs mature GABAergic","Gas5","161036852-161037123"
"Gas5..161036852-1610372873",2.78103449061404e-10,-0.449153849985167,0.786,0.896,2.57359712795914e-05,"mature GABAergic","radial glia vs mature GABAergic","Gas5","161036852-161037287"
"Clta..44025560-440302143",3.06028910083269e-10,-0.528030688522372,0.071,0.75,2.83202213680158e-05,"Cajal-Retzius","radial glia vs Cajal-Retzius","Clta","44025560-44030214"
"Clta..44030268-440324003",1.08924437487815e-07,-0.404978133253354,0.071,0.625,0.0100799763695599,"Cajal-Retzius","radial glia vs Cajal-Retzius","Clta","44030268-44032400"
"Clta..44025560-440324003",2.04501080972242e-07,0.582517156946101,0.929,0.188,0.0189247345342523,"radial glia","radial glia vs Cajal-Retzius","Clta","44025560-44032400"
"Clta..44025560-440302144",9.72109323087407e-25,-0.456137985579851,0.403,0.842,8.99599688678318e-20,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324004",2.31213820802954e-24,-0.451267801201618,0.378,0.833,2.13967581909262e-19,"imature Glutamatergic","cycling radial glia vs imature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324004",2.06452304600583e-14,0.303762980899592,0.84,0.487,1.91053027200426e-09,"cycling radial glia","cycling radial glia vs imature Glutamatergic","Clta","44025560-44032400"
"Clta..44025560-440302145",5.4086129121625e-34,-0.583662587900541,0.403,0.881,5.0051844750443e-29,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324005",4.95344660782616e-33,-0.565674727680867,0.378,0.874,4.5839690253484e-28,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324005",8.52656685702365e-22,0.386868838700565,0.84,0.5,7.89057023515825e-17,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Clta","44025560-44032400"
"Gas5..161036852-1610371234",7.42947552771345e-18,0.252576775664362,0.681,0.27,6.8753109481013e-13,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Gas5","161036852-161037123"
"Gas5..161037164-1610372874",8.88879635795324e-18,0.250139620328567,0.681,0.27,8.2257810376135e-13,"cycling radial glia","cycling radial glia vs mature Glutamatergic","Gas5","161037164-161037287"
"Gas5..161036852-1610372874",1.08425585977246e-15,-0.409172527837033,0.941,0.986,1.00338121519203e-10,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036852-161037287"
"Gas5..161036014-1610362072",6.77933982240076e-09,-0.303471429465518,0.966,0.986,0.000627366886504789,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036014-161036207"
"Gas5..161035804-1610359822",2.82575679090986e-07,-0.272452210548526,0.966,0.986,0.026149835918759,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161035804-161035982"
"Gas5..161036244-1610365482",3.83433012663601e-07,-0.270352532019099,0.958,0.975,0.0354832744249023,"mature Glutamatergic","cycling radial glia vs mature Glutamatergic","Gas5","161036244-161036548"
"Clta..44030268-440324006",6.41317792836171e-25,-0.615152727789819,0.378,0.827,5.93481898668521e-20,"mature GABAergic","cycling radial glia vs mature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440302146",1.85443077180492e-24,-0.613236260929989,0.403,0.827,1.716108780536e-19,"mature GABAergic","cycling radial glia vs mature GABAergic","Clta","44025560-44030214"
"Clta..44025560-440324006",1.10804576246868e-15,0.34213951051959,0.84,0.335,1.02539662904614e-10,"cycling radial glia","cycling radial glia vs mature GABAergic","Clta","44025560-44032400"
"Clta..44025560-440302147",2.10632875296932e-14,-0.373309697249415,0.552,0.881,1.94921769128534e-09,"mature Glutamatergic","intermediate progenitor vs mature Glutamatergic","Clta","44025560-44030214"
"Clta..44030268-440324007",1.47629318949132e-13,-0.355785895596504,0.552,0.874,1.36617648048716e-08,"mature Glutamatergic","intermediate progenitor vs mature Glutamatergic","Clta","44030268-44032400"
"Clta..44025560-440324007",1.09299651607968e-12,0.439050009338848,0.747,0.5,1.0114699059453e-07,"intermediate progenitor","intermediate progenitor vs mature Glutamatergic","Clta","44025560-44032400"
"Clta..44025560-440302148",4.85459095908575e-10,-0.402883370278864,0.552,0.827,4.49248701944755e-05,"mature GABAergic","intermediate progenitor vs mature GABAergic","Clta","44025560-44030214"
"Clta..44030268-440324008",4.88200992578785e-10,-0.405263895705456,0.552,0.827,4.51786080542334e-05,"mature GABAergic","intermediate progenitor vs mature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440324008",5.16642238458317e-10,0.394320681157873,0.747,0.335,4.78105893891711e-05,"intermediate progenitor","intermediate progenitor vs mature GABAergic","Clta","44025560-44032400"
"Clta..44025560-440302149",8.45058662878307e-14,0.300046767084617,0.881,0.556,7.82025737214214e-09,"mature Glutamatergic","mature Glutamatergic vs imature GABAergic","Clta","44025560-44030214"
"Clta..44030268-440324009",7.05919567025271e-13,0.284524889630133,0.874,0.542,6.53265026520856e-08,"mature Glutamatergic","mature Glutamatergic vs imature GABAergic","Clta","44030268-44032400"
"Clta..44025560-440324009",2.47411319242162e-08,-0.29100826952262,0.5,0.611,0.00228956908939889,"imature GABAergic","mature Glutamatergic vs imature GABAergic","Clta","44025560-44032400"
"Tcf4..69521485-69564036",6.22880102862174e-24,0.302230771496536,0.489,0.023,5.76419475989684e-19,"mature Glutamatergic","mature Glutamatergic vs mature GABAergic","Tcf4","69521485-69564036"
"Tcf4..69593584-69633576",6.13712816433196e-08,-0.360768155150394,0.608,0.665,0.00567935977455444,"mature GABAergic","mature Glutamatergic vs mature GABAergic","Tcf4","69593584-69633576"
