geneId	total	isoform_def	isoform_undef
Adora2a	37	12	25
Rrp1	1734	410	1324
Fam50a	349	153	196
Vps35	464	184	280
Vps36	657	141	516
Elk1	61	0	61
Cyb561d2	218	191	27
Cyb561d1	16	3	13
Rrp9	263	183	80
Elk3	22	10	12
Vps39	72	3	69
Rrp8	121	75	46
Vps29	1073	884	189
Elk4	36	3	33
Abcb6	65	38	27
Abcb7	44	7	37
Abcb4	3	2	1
Osbpl11	85	20	65
Abcb8	142	52	90
Tcp11l1	110	73	37
Osbpl10	3	0	3
Abcb9	56	0	56
Tcp11l2	102	71	31
Gm4353	87	77	10
Hus1	26	7	19
Abcc3	4	0	4
Vps18	101	46	55
Chid1	128	61	67
Abcc4	1	0	1
Abcc1	27	18	9
Abcc8	34	0	34
Abcc5	219	93	126
Abcc9	7	1	6
Mcam	2	0	2
Vps11	83	18	65
Mcat	138	112	26
Vps16	183	51	132
Ankra2	364	252	112
Abr	248	29	219
Wdhd1	38	6	32
Bcan	75	22	53
Chic2	394	338	56
Bcam	3	1	2
Chic1	65	30	35
Rrs1	356	356	0
Plk5	1	0	1
Plk3	36	17	19
Plk4	95	71	24
Acd	498	268	230
Plk1	114	70	44
Plk2	377	231	146
Bmpr1a	86	6	80
Bmpr1b	14	6	8
Ell2	1	0	1
Grpr	1	1	0
Abca1	49	0	49
Abca2	63	0	63
Abca5	42	0	42
Abca3	108	8	100
Abca4	2	1	1
Abca9	1	0	1
Abca7	15	0	15
Ada	19	17	2
Glcci1	120	11	109
Rrp12	23	2	21
Adk	165	128	37
Adm	1	0	1
Rrp15	227	196	31
Ado	83	83	0
Chia1	2	0	2
Zik1	135	45	90
Diexf	87	2	85
Folh1	1	0	1
Nup85	170	87	83
Lrrc7	461	391	70
Edrf1	31	3	28
Lrrc9	10	5	5
Nup88	267	81	186
Aen	345	284	61
Aes	994	834	160
Diras1	101	18	83
Diras2	18	0	18
Irak1bp1	476	439	37
Appbp2os	2	1	1
Zfp335os	33	26	7
Nup93	111	66	45
Lmbr1	84	28	56
Ep300	97	70	27
Gemin6	115	106	9
Gemin7	353	318	35
Nup98	11	3	8
Gemin4	5	0	5
Rrp36	55	15	40
Gemin5	39	1	38
Gemin8	91	77	14
Tbccd1	34	16	18
Nfib	5609	1168	4441
Nfia	618	8	610
Acvrl1	2	1	1
Nfic	195	41	154
Lrrc3	33	4	29
Rrp1b	173	5	168
Lrrc4	50	49	1
Zim1	2	0	2
Fosb	94	86	8
Aga	37	31	6
RP23-172P1.4	1	1	0
Lrrc6	8	1	7
Lrrc1	20	14	6
Ankrd9	24	16	8
Agk	118	83	35
Mcf2	4	0	4
Agl	91	13	78
Elp2	235	96	139
Ankrd2	1	0	1
Scand1	1637	677	960
Elp4	136	96	40
Elp3	320	189	131
Pdzrn4	95	48	47
Elp6	150	131	19
Ankrd6	99	11	88
Elp5	455	164	291
