geneId	total	isoform_def	isoform_undef
Adora2a	40	23	17
Rrp1	1758	1503	255
Fam50a	370	344	26
Vps35	494	466	28
Vps36	703	658	45
Elk1	86	33	53
Cyb561d2	219	192	27
Cyb561d1	18	3	15
Rrp9	269	240	29
Elk3	26	10	16
Vps39	74	8	66
Rrp8	133	116	17
Vps29	1091	1019	72
Elk4	37	14	23
Abcb6	69	65	4
Abcb7	48	13	35
Abcb4	3	1	2
Osbpl11	89	0	89
Abcb8	149	70	79
Tcp11l1	114	93	21
Osbpl10	3	0	3
Abcb9	57	54	3
Tcp11l2	103	94	9
Gm4353	4	0	4
Hus1	28	9	19
Abcc3	4	0	4
Vps18	110	53	57
Chid1	125	15	110
Abcc4	1	0	1
Abcc1	27	1	26
Abcc8	33	12	21
Abcc5	228	147	81
Abcc9	8	2	6
Mcam	3	1	2
Vps11	90	64	26
Mcat	138	114	24
Vps16	190	180	10
Ankra2	408	337	71
Abr	257	83	174
Wdhd1	38	10	28
Bcan	89	74	15
Chic2	398	365	33
Bcam	3	3	0
Chic1	65	34	31
Rrs1	361	360	1
Plk5	1	1	0
Plk3	41	30	11
Plk4	94	54	40
Acd	514	396	118
Plk1	116	112	4
Plk2	393	352	41
Bmpr1a	86	12	74
Bmpr1b	14	7	7
Ell2	1	1	0
Grpr	1	1	0
Abca1	52	6	46
Abca2	65	54	11
Abca5	43	11	32
Abca3	113	9	104
Abca4	2	0	2
Abca9	1	1	0
Abca7	15	1	14
Ada	19	19	0
Glcci1	119	19	100
Rrp12	22	19	3
Adk	165	144	21
Adm	1	1	0
Rrp15	233	216	17
Ado	88	88	0
Chia1	1	1	0
Zik1	136	54	82
Diexf	99	36	63
Folh1	1	1	0
Nup85	178	166	12
Lrrc7	457	390	67
Edrf1	33	16	17
Lrrc9	10	8	2
Nup88	271	168	103
Aen	350	305	45
Aes	1011	863	148
Diras1	107	23	84
Diras2	18	2	16
Irak1bp1	478	461	17
Appbp2os	2	2	0
Zfp335os	33	26	7
Nup93	111	80	31
Lmbr1	84	51	33
Ep300	101	18	83
Gemin6	114	111	3
Gemin7	353	319	34
Nup98	12	6	6
Gemin4	6	0	6
Rrp36	55	54	1
Gemin5	41	6	35
Gemin8	90	81	9
Tbccd1	34	16	18
Nfib	6115	1409	4706
Nfia	772	19	753
Acvrl1	2	1	1
Nfic	205	73	132
Lrrc3	37	4	33
Rrp1b	173	127	46
Lrrc4	50	0	50
Zim1	1	0	1
Fosb	142	6	136
Aga	40	35	5
RP23-172P1.4	1	1	0
Lrrc6	7	4	3
Lrrc1	22	6	16
Ankrd9	28	26	2
Agk	128	19	109
Mcf2	4	1	3
Agl	90	6	84
Elp2	253	233	20
Ankrd2	1	1	0
Scand1	1678	845	833
Elp4	137	134	3
Elp3	333	238	95
Pdzrn4	98	65	33
Elp6	156	147	9
Ankrd6	97	28	69
Elp5	457	373	84
Pdzrn3	95	54	41
Agt	1	1	0
Mcee	191	186	5
Gemin2	86	78	8
Plp2	178	164	14
Plp1	60	27	33
Atxn3	67	56	11
Atxn1	67	1	66
Atxn2	214	49	165
Ripply2	15	11	4
Atxn7	77	5	72
Ripply3	1	0	1
Rimbp2	3	0	3
Rimbp3	5	5	0
Ahr	43	1	42
Hist1h3d	19	7	12
Fam58b	255	253	2
Hist1h3e	18	14	4
Hist1h3b	24	5	19
Hist1h3c	30	16	14
Hist1h3h	9	6	3
Hist1h3i	20	10	10
Hist1h3f	17	8	9
Hist1h3g	5	3	2
Pls3	85	40	45
Oip5	28	24	4
Pls1	4	3	1
Hist1h3a	28	21	7
Nfix	5308	4009	1299
Mtrf1	47	41	6
Ak1	268	220	48
Cfl1	9560	8612	948
Dio2	7	1	6
Ak3	184	136	48
Cfl2	1683	1428	255
Dio3	3	0	3
Ak2	581	507	74
Aip	374	331	43
Ak5	4	3	1
Ak4	24	1	23
Ak6	79	42	37
Fam57a	28	15	13
Fam57b	984	860	124
Thg1l	10	7	3
Porcn	115	77	38
Cnot11	141	85	56
Eif4ebp2	73	17	56
Eif4ebp1	73	72	1
Hist1h1b	275	274	1
Hist1h1c	994	990	4
Hist1h1a	70	70	0
Hist1h1d	51	51	0
Hist1h1e	171	171	0
Angel2	491	202	289
Cnot10	151	121	30
Angel1	9	1	8
Vsig10	2	1	1
Mcl1	291	118	173
Bcl9	427	179	248
Bcl6	4	2	2
Bcl3	1	1	0
Bcl2	211	3	208
9330136K24Rik	1	0	1
Tsen2	226	198	28
Pdlim3	14	13	1
Pdlim2	23	3	20
Pdlim1	41	40	1
Vps72	1116	1006	110
Mcm7	625	597	28
Mcm8	35	28	7
Mcm9	9	1	8
Tnks1bp1	41	8	33
